active_stake_in_ada,reward
1000000.0,31.824668224991193
2000000.0,48.82519796101902
3000000.0,54.49204120636163
4000000.0,57.32546282903295
5000000.0,59.025515802635724
6000000.0,60.15888445170425
7000000.0,60.968433486753185
8000000.0,61.575595263039894
9000000.0,62.047832200151795
10000000.0,62.425621749841305
11000000.0,62.73472229049636
12000000.0,62.99230607437556
13000000.0,63.21026158381181
14000000.0,63.397080591900036
15000000.0,63.55899039890982
16000000.0,63.70066148004339
17000000.0,63.82566537516122
18000000.0,63.936779948599316
19000000.0,64.03619825114919
20000000.0,64.12567472344408
21000000.0,64.20662962694898
22000000.0,64.28022499377161
23000000.0,64.34742076347924
24000000.0,64.40901688571121
25000000.0,64.46568531816463
26000000.0,64.51799464042934
27000000.0,64.56642919808185
28000000.0,64.61140414447345
29000000.0,64.65327737042425
30000000.0,64.69235904797834
31000000.0,64.72891932698056
32000000.0,64.76319458854512
33000000.0,64.79539256153002
34000000.0,64.82569653610405
35000000.0,64.85426885498813
36000000.0,64.8812538228231
37000000.0,64.90678014374807
38000000.0,64.93096297409802
39000000.0,64.95390565930184
40000000.0,64.97570121024546
41000000.0,64.99643356358209
42000000.0,65.01617866199791
43000000.0,65.03500538374324
44000000.0,65.05297634540923
45000000.0,65.07014859766784
46000000.0,65.08657423026305
47000000.0,65.10230089976908
48000000.0,65.11737229137906
49000000.0,65.13182852414778
50000000.0,65.14570650760575
51000000.0,65.15904025641832
52000000.0,65.17186116873809
53000000.0,65.18419827304582
54000000.0,65.19607844756435
55000000.0,65.20752661573675
56000000.0,65.21856592076016
57000000.0,65.22921788174764
58000000.0,65.23950253373555
59000000.0,65.24943855345269
60000000.0,65.25904337251261
61000000.0,65.26833327947217
62000000.0,65.27732351201371
63000000.0,65.28602834034757
64000000.0,65.294461142796
65000000.0,65.30263447439985
66000000.0,65.31056012928845
67000000.0,64.52364563178556
68000000.0,63.57476849014164
69000000.0,62.65339503376278
70000000.0,61.75834653328045
71000000.0,60.88851066661453
72000000.0,60.04283690735599
73000000.0,59.22033229218674
74000000.0,58.42005753148151
75000000.0,57.64112343106176
76000000.0,56.88268759644252
77000000.0,56.14395139389132
78000000.0,55.42415714525169
79000000.0,54.72258553581812
80000000.0,54.03855321662039
81000000.0,53.37141058431644
82000000.0,52.7205397235321
83000000.0,52.08535249794737
84000000.0,51.46528877773371
85000000.0,50.85981479211331
86000000.0,50.268421596856186
87000000.0,49.690623647467035
88000000.0,49.1259574696549
89000000.0,48.573980419434065
90000000.0,48.0342695258848
91000000.0,47.50642041021573
92000000.0,46.990046275322086
93000000.0,46.48477696053367
94000000.0,45.99025805669821
95000000.0,45.50615007715402
96000000.0,45.03212768051699
97000000.0,44.567878941542595
98000000.0,44.1131046666289
99000000.0,43.66751775080436
